PROVINCE,COUNTY,DISTRICT,LAT,LON,HOUSEHOLDS,ELECTRICITY,PRESSURE_LAMP,LANTERN,TIN_LAMP,GAS_LAMP,FUEL_WOOD,SOLAR,OTHER
RIFT VALLEY,Uasin Gishu,ELDORET WEST,0.711285558,35.19163187,41805,22290,382,10363,8301,59,95,109,206
RIFT VALLEY,Uasin Gishu,ELDORET EAST,0.563160828,35.41893944,20596,12241,148,5519,2305,43,34,71,235
RIFT VALLEY,Uasin Gishu,WARENG,0.299690606,35.33850049,34093,14978,174,11482,6722,76,57,193,411
RIFT VALLEY,Elgeyo Marakwet,MARAKWET,1.08405524,35.50699822,1916,670,1,823,372,2,22,18,8
RIFT VALLEY,Elgeyo Marakwet,KEIYO,0.489045271,35.57039657,9689,1862,28,5195,2237,30,172,154,11
RIFT VALLEY,Nandi,NANDI NORTH,0.438611778,35.06077368,980,274,2,521,169,2,0,5,7
RIFT VALLEY,Nandi,NANDI CENTRAL,0.237462739,35.08490348,19992,4210,99,8837,6470,73,41,192,70
RIFT VALLEY,Nandi,NANDI EAST,0.105368029,35.23779105,2773,595,10,924,1192,26,4,13,9
RIFT VALLEY,Nandi,NANDI SOUTH,0.048811478,34.96800793,0,0,0,0,0,0,0,0,0
RIFT VALLEY,Nandi,TINDERET,-0.013491939,35.3167413,0,0,0,0,0,0,0,0,0
RIFT VALLEY,Laikipia,LAIKIPIA NORTH,0.515458301,36.99627658,373,2,0,239,91,1,14,21,5
RIFT VALLEY,Laikipia,LAIKIPIA EAST,0.093934415,36.95183375,14160,7668,128,3807,1927,34,53,470,73
RIFT VALLEY,Laikipia,LAIKIPIA WEST,0.39729996,36.5181069,14732,7170,69,4207,2945,71,31,185,54
RIFT VALLEY,Nakuru,NAKURU,-0.134672183,36.03461164,96132,66804,475,16228,11448,138,166,361,512
RIFT VALLEY,Nakuru,NAKURU NORTH,-0.135028953,36.16401596,19286,10530,277,5566,2420,107,25,276,85
RIFT VALLEY,Nakuru,NAIVASHA,-0.727134387,36.33344468,69025,33839,419,21703,10935,296,148,1319,366
RIFT VALLEY,Nakuru,MOLO,-0.409755795,35.75756717,29170,8355,165,12214,7703,120,84,341,188
RIFT VALLEY,Narok,NAROK NORTH,-0.959555087,35.99464674,12903,6398,79,3995,2175,32,28,92,104
RIFT VALLEY,Narok,NAROK SOUTH,-1.402738483,35.5807782,0,0,0,0,0,0,0,0,0
RIFT VALLEY,Kajiado,KAJIADO CENTRAL,-2.133910157,36.89341002,9051,5247,71,2089,1426,14,72,38,94
RIFT VALLEY,Kajiado,LOITOKITOK,-2.635934635,37.47875865,4138,1406,40,1801,811,11,8,41,20
RIFT VALLEY,Kericho,KERICHO,-0.34219841,35.21130866,32135,10432,143,13326,7716,104,33,277,104
RIFT VALLEY,Kericho,KIPKELION,-0.155533799,35.47881562,18635,1026,55,11484,5365,92,29,538,46
RIFT VALLEY,Bomet,BURET,-0.547074877,35.3033778,5518,999,16,3459,889,28,15,68,44
RIFT VALLEY,Bomet,SOTIK,-0.759704345,35.1490337,2311,675,24,1057,493,7,10,12,33
RIFT VALLEY,Bomet,BOMET,-0.840969003,35.31899335,19238,1659,72,13581,2958,184,217,541,26
RIFT VALLEY,Kajiado,KAJIADO NORTH,-1.646437311,36.44660994,73931,51583,649,11287,9413,251,107,223,418
WESTERN,Kakamega,KAKAMEGA CENTRAL,0.350512813,34.6856109,41352,1087,157,9442,29906,344,88,307,21
WESTERN,Kakamega,KAKAMEGA SOUTH,0.190561619,34.7077479,23144,674,86,6612,15231,297,49,185,10
WESTERN,Kakamega,KAKAMEGA NORTH,0.473620028,34.82641205,39404,548,176,9958,27991,293,141,258,39
WESTERN,Kakamega,KAKAMEGA EAST,0.273804872,34.85789384,33661,1396,147,10727,20651,261,202,236,41
WESTERN,Kakamega,LUGARI,0.723211024,35.02947866,54680,1651,401,24313,27011,343,292,580,89
WESTERN,Vihiga,VIHIGA,0.079761357,34.72682968,20645,1211,91,6699,12308,199,30,100,7
WESTERN,Vihiga,EMUHAYA,0.057677852,34.60778185,31382,1040,77,5846,23640,319,200,250,10
WESTERN,Vihiga,HAMISI,0.099070606,34.82143608,32096,2194,160,10482,18551,226,227,198,58
WESTERN,Kakamega,MUMIAS,0.35427418,34.48762031,50730,569,170,10070,39027,383,272,219,20
WESTERN,Kakamega,BUTERE,0.192421093,34.54564535,51518,882,188,10817,38542,423,179,449,38
WESTERN,Bungoma,BUNGOMA SOUTH,0.56139561,34.52131934,61280,1101,279,12712,45994,478,482,206,28
WESTERN,Bungoma,BUNGOMA NORTH,0.783636675,34.86452529,41915,700,235,14848,25223,287,82,416,124
WESTERN,Bungoma,BUNGOMA EAST,0.63973936,34.73645726,31961,637,166,8493,22264,167,56,165,13
WESTERN,Bungoma,BUNGOMA WEST,0.718594776,34.54143282,40157,396,171,10306,28736,271,122,120,35
WESTERN,Bungoma,MT. ELGON,0.928746904,34.59729929,30165,161,40,5055,24047,164,591,68,39
WESTERN,Busia,BUSIA,0.413063265,34.26474625,58210,1172,215,12241,43634,293,353,256,46
WESTERN,Busia,TESO NORTH,0.685653144,34.34692124,13491,171,32,2904,10237,60,25,52,10
WESTERN,Busia,SAMIA,0.249684994,34.08114406,19395,635,37,3580,14836,141,20,135,11
WESTERN,Busia,BUNYALA,0.085563847,34.02046792,13535,380,47,1945,11040,38,18,42,25
WESTERN,Busia,TESO SOUTH,0.545069632,34.22063324,21346,256,35,3497,17203,91,120,65,79
WESTERN,Kakamega,KAKAMEGA CENTRAL,0.350512813,34.6856109,23769,7852,179,8014,7324,89,68,130,113
WESTERN,Kakamega,KAKAMEGA NORTH,0.473620028,34.82641205,1231,283,16,538,362,8,1,19,4
WESTERN,Kakamega,KAKAMEGA EAST,0.273804872,34.85789384,516,94,3,144,263,6,0,1,5
WESTERN,Kakamega,LUGARI,0.723211024,35.02947866,4796,906,41,2135,1608,22,22,36,26
WESTERN,Vihiga,VIHIGA,0.079761357,34.72682968,27576,3315,125,10031,13653,194,85,132,41
WESTERN,Vihiga,EMUHAYA,0.057677852,34.60778185,11648,918,94,2074,8328,100,40,81,13
WESTERN,Vihiga,HAMISI,0.099070606,34.82143608,0,0,0,0,0,0,0,0,0
WESTERN,Kakamega,MUMIAS,0.35427418,34.48762031,27955,3574,212,6752,16966,227,50,110,64
WESTERN,Kakamega,BUTERE,0.192421093,34.54564535,2923,443,15,634,1768,22,3,25,13
WESTERN,Bungoma,BUNGOMA SOUTH,0.56139561,34.52131934,22015,4911,228,6694,9836,107,61,93,85
WESTERN,Bungoma,BUNGOMA NORTH,0.783636675,34.86452529,19571,1134,109,5803,12243,143,33,53,53
WESTERN,Bungoma,BUNGOMA EAST,0.63973936,34.73645726,13973,2405,79,5112,6169,60,19,74,55
WESTERN,Bungoma,BUNGOMA WEST,0.718594776,34.54143282,7491,425,39,2377,4553,22,36,15,24
WESTERN,Bungoma,MT. ELGON,0.928746904,34.59729929,2296,349,5,856,1055,5,11,13,2
WESTERN,Busia,BUSIA,0.413063265,34.26474625,10571,2742,72,4040,3570,26,10,30,81
WESTERN,Busia,TESO NORTH,0.685653144,34.34692124,9941,1692,22,2634,5445,43,9,40,56
WESTERN,Busia,SAMIA,0.249684994,34.08114406,0,0,0,0,0,0,0,0,0
WESTERN,Busia,BUNYALA,0.085563847,34.02046792,1710,233,4,601,856,3,5,0,8
WESTERN,Busia,TESO SOUTH,0.545069632,34.22063324,6026,1972,30,1841,2128,14,6,13,22
